133,CSI,48:4A:E9:20:BE:E0,-91,128,-43,80,13,0,-8,1,-8,1,-6,-1,-1,-4,1,-4,-1,-4,-3,-8,-2,-9,-3,-8,-5,-6,-4,-6,-2,-4,-2,0,-5,3,-1,4,3,4,1,8,-3,11,-6,10,-8,10,-8,8,-7,6,-5,4,-4,4,-5,5,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,5,-10,6,-10,6,-10,6,-12,5,-13,4,-13,4,-13,2,-12,1,-11,1,-13,1,-14,-1,-12,-6,-11,-7,-12,-5,-9,-4,-4,-6,-2,-7,-3,-7,-1,-7,0,-7,2,-7,6,-8,5,-7,4,-5,6,-3,8
165,CSI,48:4A:E9:20:EE:80,-73,128,-42,96,13,0,-37,-6,-37,-6,-37,-5,-36,-4,-32,-3,-27,-1,-22,1,-15,2,-6,2,2,2,8,2,15,2,21,3,26,3,29,2,31,1,30,0,28,-1,25,-1,22,-1,17,-2,11,-2,5,-2,-1,-2,-5,-2,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-1,-21,-4,-21,-5,-20,-6,-19,-7,-16,-8,-11,-8,-7,-7,-2,-7,4,-6,10,-3,14,-1,19,1,24,3,28,4,31,5,32,6,32,6,31,5,28,5,23,3,17,3,10,2,3,2,-5,1,-12,0,-18,-2
197,CSI,48:4A:E9:20:EE:81,-73,128,-43,80,13,0,-36,-13,-37,-13,-36,-13,-35,-12,-32,-9,-28,-5,-22,-3,-16,-1,-8,0,0,1,7,4,14,6,20,7,26,7,30,8,31,7,30,6,28,6,25,5,21,4,16,3,11,1,5,-1,-1,-2,-5,-4,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-3,-20,-10,-19,-11,-18,-11,-16,-11,-13,-11,-10,-11,-6,-9,-1,-6,5,-3,11,0,16,4,20,7,24,10,27,13,29,15,30,16,30,15,29,14,26,12,22,11,16,8,10,6,3,3,-5,-1,-14,-4,-19,-7
228,CSI,48:4A:E9:20:EE:82,-73,128,-44,64,13,0,-4,38,-5,39,-4,39,-3,37,-1,34,0,28,1,21,2,14,1,6,0,-3,0,-10,0,-17,0,-23,-1,-29,-2,-31,-2,-32,-3,-32,-4,-31,-4,-29,-4,-24,-4,-18,-3,-12,-3,-5,-2,1,-1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,5,-9,19,-11,19,-10,18,-10,16,-10,12,-8,8,-7,5,-5,0,-3,-5,-1,-11,0,-17,3,-23,6,-26,8,-29,10,-32,10,-33,9,-34,9,-32,9,-29,8,-26,6,-20,4,-12,2,-2,-1,6,-2,13,-1,18
260,CSI,48:4A:E9:1F:F5:60,-89,128,-43,80,13,0,0,-17,1,-15,0,-13,-2,-10,0,-8,3,-8,5,-6,7,-2,8,-2,9,-2,10,0,11,-2,10,-7,11,-7,12,-5,13,-4,12,-1,10,1,10,1,9,1,7,3,6,4,4,4,1,3,-2,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,-4,3,-7,1,-9,-3,-6,-3,-3,-5,-5,-9,-6,-10,-3,-12,-1,-15,-2,-17,-2,-18,0,-19,1,-18,1,-13,2,-8,3,-6,3,-3,2,-1,1,-2,0,-6,-3,-5,-7,-1,-11,3,-14,3,-14,2,-12
301,CSI,48:4A:E9:20:BE:E0,-89,128,-43,80,13,0,-8,-3,-7,-1,-6,0,-4,3,-1,5,5,5,8,7,7,11,8,13,8,9,5,10,2,14,0,15,-1,13,-1,12,-3,10,-6,5,-8,-2,-9,-8,-8,-11,-8,-12,-6,-11,-5,-12,-3,-14,-2,-13,-1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9,8,7,7,9,4,12,2,13,2,14,1,14,-2,15,-2,15,-1,11,0,10,-2,10,-4,8,-6,6,-8,3,-9,-1,-8,-5,-8,-7,-9,-8,-7,-10,-6,-13,-7,-15,-9,-18,-11,-21,-13,-19,-12,-16,-10
333,CSI,48:4A:E9:20:BE:E1,-90,128,-44,64,13,0,7,3,2,4,-2,0,-4,-2,-3,-3,-3,-6,-6,-8,-6,-11,-4,-14,-4,-13,-1,-10,4,-8,6,-9,5,-8,5,-5,7,0,9,5,7,7,4,9,0,12,-6,11,-8,10,-7,8,-6,7,-5,6,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,2,-11,8,-10,9,-10,10,-11,13,-12,15,-12,15,-11,16,-10,15,-7,13,-6,14,-8,15,-9,15,-5,15,-1,12,4,7,7,5,9,3,9,1,10,0,12,1,13,3,14,5,15,3,17,4,19,5,17,1
364,CSI,48:4A:E9:1E:0C:C0,-87,128,-43,80,13,0,-9,5,-4,4,-1,3,-3,0,-8,-4,-10,-9,-10,-10,-9,-10,-10,-9,-13,-7,-16,-8,-18,-10,-18,-11,-16,-13,-15,-13,-10,-11,-5,-11,-4,-12,-2,-13,0,-13,1,-13,2,-13,4,-13,4,-14,3,-16,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,5,-10,4,-10,3,-10,2,-7,1,-4,1,-2,-1,-1,-1,1,1,4,2,7,2,7,2,6,3,4,4,5,6,9,5,9,4,4,4,-1,2,-3,-3,-1,-4,0,-6,-2,-11,-1,-11,1,-8,4,-5,3
396,CSI,48:4A:E9:20:BE:E0,-89,128,-43,80,13,0,-17,6,-16,2,-16,0,-15,0,-12,-3,-6,-6,0,-6,4,-6,5,-9,6,-11,7,-11,12,-9,13,-8,11,-9,12,-7,12,-2,12,3,13,7,11,7,9,8,7,11,3,11,0,10,0,11,2,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,-2,9,1,7,2,8,5,6,10,1,15,-1,15,-2,18,-4,23,-5,20,-6,15,-8,15,-10,16,-10,16,-11,12,-9,8,-5,5,-4,1,-4,-3,-2,-7,1,-12,6,-15,7,-19,4,-20,7,-18,12,-16,14
427,CSI,48:4A:E9:20:BE:E1,-88,128,-44,64,13,0,16,1,15,1,16,3,12,4,4,5,0,4,-3,5,-7,5,-10,3,-9,4,-11,2,-15,1,-14,2,-10,-1,-9,-7,-13,-11,-13,-12,-9,-13,-3,-13,2,-13,2,-13,4,-13,8,-12,8,-11,6,-8,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-4,-4,-13,-4,-10,-6,-6,-9,-2,-11,-3,-13,-3,-17,0,-20,0,-21,0,-23,4,-23,7,-19,5,-13,2,-10,2,-8,2,-5,4,-4,5,1,4,7,1,11,-1,14,-1,17,0,20,-3,21,-3,20,-3,19,-7
469,CSI,48:4A:E9:1E:0C:C0,-90,128,-43,80,13,0,0,2,-6,0,-7,-1,-5,-2,-7,-2,-11,-2,-16,1,-17,5,-16,6,-15,7,-13,9,-13,9,-15,5,-15,3,-14,6,-12,9,-14,7,-16,4,-15,2,-13,1,-14,1,-17,2,-16,3,-13,4,-10,5,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,12,-3,10,-1,8,-1,8,-3,9,-4,7,-5,4,-4,4,-1,5,2,7,4,7,4,4,5,3,6,4,5,5,5,3,6,2,4,5,2,3,4,0,5,0,2,0,-1,-1,1,-1,5,2,3,5,1
490,CSI,48:4A:E9:20:BE:E0,-91,128,-43,80,13,0,14,-4,11,0,11,3,9,5,4,5,1,6,-1,7,-1,10,-3,12,-7,13,-6,13,-7,10,-8,7,-6,3,-7,2,-10,2,-10,0,-7,-6,-4,-10,-1,-11,1,-13,3,-14,4,-15,5,-14,7,-13,2,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-3,7,-12,2,-14,-2,-13,-5,-9,-9,-5,-11,-3,-11,-2,-12,-1,-13,0,-13,2,-16,2,-16,2,-12,5,-11,8,-11,7,-9,4,-5,2,1,3,4,3,6,1,8,-2,9,-5,9,-4,11,-2,14,-2,16,-7
532,CSI,48:4A:E9:20:BE:E1,-89,128,-44,64,13,0,-1,-15,0,-17,0,-14,3,-7,6,-6,7,-4,9,1,10,4,9,5,9,7,8,6,5,7,3,11,1,10,0,8,-3,8,-7,9,-9,7,-8,2,-11,-1,-15,-3,-15,-4,-13,-3,-11,-3,-11,-4,-3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-3,-10,-8,-10,-6,-10,-4,-9,-1,-10,2,-9,5,-8,9,-6,15,-3,18,-2,19,-2,17,-2,17,-2,16,1,15,3,13,1,9,0,4,0,-3,2,-8,2,-7,1,-9,0,-13,-1,-16,-2,-17,-3,-17,-2,-17
563,CSI,48:4A:E9:1F:F5:60,-92,128,-43,80,13,0,-2,-11,-3,-11,-4,-10,-6,-11,-7,-12,-8,-9,-8,-6,-9,-4,-11,-3,-10,-6,-5,-7,-1,-8,1,-10,1,-9,-1,-11,-2,-15,0,-16,0,-16,-2,-15,-2,-13,-1,-10,-2,-10,-3,-10,-2,-9,0,-10,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,3,-1,4,-4,6,-6,8,-5,8,-6,5,-4,3,-3,3,-2,6,-1,7,-1,4,-4,0,-6,0,-4,0,-3,0,-5,2,-7,2,-7,3,-5,4,-5,1,-6,0,-5,0,-4,0,-1,0
595,CSI,48:4A:E9:20:BE:E0,-91,128,-43,80,13,0,2,14,-2,10,-4,10,-4,11,-5,9,-8,4,-11,3,-9,5,-8,7,-9,6,-10,6,-11,5,-9,-1,-8,-5,-6,-8,-5,-8,-5,-9,-3,-12,-1,-13,-1,-15,2,-17,4,-15,0,-15,-1,-13,2,-11,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,2,-8,9,-5,8,-2,7,2,8,5,9,9,8,11,4,11,1,10,-2,11,-3,13,-5,13,-8,11,-12,9,-14,7,-10,6,-5,4,-3,0,-3,-2,-2,-1,3,-2,5,-2,5,1,6,3,6,4,10,5,13
626,CSI,48:4A:E9:20:BE:E1,-90,128,-44,64,13,0,17,-3,13,-2,8,0,7,1,8,0,7,2,7,6,9,8,6,8,3,7,2,6,-1,5,-4,5,-4,7,-6,8,-9,4,-11,1,-14,1,-17,1,-15,0,-12,-2,-12,-3,-13,-4,-12,-5,-12,-5,-4,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,-2,7,-6,5,-5,2,-5,1,-8,-1,-9,-4,-7,-8,-6,-12,-7,-13,-8,-14,-8,-15,-8,-14,-6,-15,-4,-14,-2,-9,-1,-6,0,-2,1,1,1,2,-1,6,-3,8,-1,9,-1,10,-3,9,-5,8,-7
658,CSI,48:4A:E9:20:EE:80,-70,128,-42,96,13,0,-24,22,-22,20,-17,17,-12,14,-7,11,0,9,7,8,14,8,19,9,24,11,28,14,32,17,33,20,33,22,31,24,27,25,22,24,17,21,12,17,9,12,6,6,5,0,5,-6,7,-12,8,-17,2,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-4,-3,-6,-4,-8,-6,-10,-8,-12,-10,-13,-12,-14,-13,-15,-14,-14,-15,-13,-15,-13,-14,-13,-14,-12,-13,-11,-11,-11,-8,-11,-4,-11,0,-12,4,-12,9,-12,12,-13,16,-15,20,-17,23,-18,26,-20,28,-22,29
699,CSI,48:4A:E9:20:BE:E0,-90,128,-43,80,13,0,-10,-13,-8,-11,-4,-10,2,-9,6,-9,8,-7,10,-5,15,-5,16,-5,16,-4,20,-2,17,-1,13,1,10,5,8,6,5,8,1,10,-4,10,-9,9,-13,8,-12,8,-13,8,-12,10,-10,9,-13,9,-4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-3,-7,-8,-9,-5,-10,-1,-9,2,-8,4,-10,7,-9,12,-7,15,-6,16,-5,16,-4,16,-2,17,2,16,5,13,3,9,1,5,1,1,-1,-5,-6,-9,-7,-12,-4,-14,-5,-16,-7,-17,-11,-16,-14,-15,-17,-17
731,CSI,48:4A:E9:20:BE:E1,-87,128,-44,64,13,0,-3,17,-6,15,-9,12,-11,5,-10,0,-10,-2,-12,-6,-16,-9,-18,-8,-17,-9,-16,-12,-15,-12,-14,-9,-10,-7,-6,-5,-3,-9,-1,-14,1,-15,5,-14,8,-14,8,-16,7,-18,9,-16,10,-14,9,-12,2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,1,-8,7,-6,7,-2,8,1,10,4,11,8,9,12,5,14,3,17,2,19,1,19,0,15,-3,11,-6,8,-6,5,-5,2,-2,1,3,-1,4,-2,7,-2,11,-5,13,-10,14,-9,17,-6,18,-4,17,-3,22
762,CSI,48:4A:E9:20:EE:80,-69,128,-42,96,13,0,-29,-22,-26,-22,-22,-19,-19,-15,-17,-10,-15,-5,-15,1,-15,6,-17,11,-19,16,-24,19,-28,21,-31,21,-34,20,-36,17,-37,14,-35,10,-31,6,-25,4,-20,3,-14,4,-8,6,-3,10,-1,14,0,19,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,6,-9,6,-10,5,-11,5,-12,4,-12,3,-13,2,-15,1,-16,0,-18,-1,-20,0,-22,0,-23,1,-23,2,-22,2,-21,1,-20,-1,-18,-4,-16,-7,-14,-10,-12,-14,-11,-18,-11,-22,-11,-25,-12,-28,-14,-30,-17
804,CSI,48:4A:E9:20:BE:E0,-88,128,-43,80,13,0,-4,-18,-4,-15,-3,-9,-2,-3,2,-3,7,-5,8,-4,6,-2,7,-3,9,-1,11,4,12,7,10,7,5,9,1,11,-3,12,-5,11,-8,11,-13,10,-17,8,-19,9,-18,8,-15,5,-13,2,-12,1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-2,-12,-6,-9,0,-8,4,-10,5,-11,9,-10,14,-9,16,-8,16,-6,17,-1,17,2,15,2,15,4,16,6,16,6,11,7,6,7,2,2,-4,-2,-9,-4,-11,-5,-14,-6,-17,-6,-17,-8,-19,-11,-23,-13,-27
836,CSI,48:4A:E9:20:BE:E1,-89,128,-44,64,13,0,8,14,3,13,1,13,-4,8,-8,2,-9,1,-9,2,-10,1,-12,-1,-12,-1,-12,-3,-15,-8,-14,-11,-9,-9,-7,-8,-6,-9,-2,-10,3,-10,8,-10,12,-11,11,-11,9,-11,10,-10,12,-7,9,-5,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,6,1,8,-2,8,-5,6,-8,6,-12,6,-16,5,-17,3,-19,0,-20,-1,-17,-2,-16,-3,-16,-4,-15,-4,-11,-2,-7,-2,-2,-4,3,-3,6,-1,11,0,18,2,20,4,18,4,18,6,20,9,21
867,CSI,48:4A:E9:20:EE:80,-70,128,-42,96,13,0,-28,14,-24,12,-19,10,-12,7,-5,4,1,2,8,-1,15,-4,21,-7,27,-10,32,-11,36,-12,38,-13,39,-13,39,-11,38,-9,33,-7,27,-4,20,-2,12,-1,5,0,-3,0,-10,0,-17,0,-22,-1,-6,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-2,-1,0,-3,4,-5,7,-7,10,-8,13,-9,15,-10,17,-11,17,-11,18,-12,18,-12,17,-10,15,-9,12,-9,9,-8,5,-6,0,-4,-6,-1,-11,2,-15,5,-19,7,-23,9,-27,11,-30,12,-31,13,-32,15
